Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status
21,Male,Graduate,India,4.5,Facebook,0.0,8.6,7,In Relationship
23,Male,Graduate,Poland,6.2,TikTok,1.0,6.3,5,Single
19,Female,Undergraduate,Japan,2.8,LINE,0.0,8.8,8,Single
20,Female,Undergraduate,Sri Lanka,5.0,Facebook,0.0,7.3,7,Single
21,Male,Graduate,Canada,4.7,Instagram,1.0,7.5,6,Single
20,Female,Undergraduate,France,4.0,Instagram,0.0,8.0,7,In Relationship
22,Male,Graduate,Denmark,3.5,Facebook,0.0,8.3,8,In Relationship
20,Female,Undergraduate,Spain,6.1,Instagram,1.0,7.2,5,Single
24,Male,Graduate,USA,5.4,Twitter,1.0,6.8,6,In Relationship
19,Female,Undergraduate,Switzerland,3.7,Instagram,0.0,8.1,8,Single
22,Male,Graduate,Turkey,3.8,TikTok,1.0,8.4,6,Single
21,Male,Undergraduate,Uruguay,3.8,YouTube,0.0,6.4,7,Single
21,Male,Graduate,UK,5.4,Facebook,1.0,6.5,6,In Relationship
23,Female,Graduate,Poland,6.2,Instagram,1.0,6.4,5,Single
19,Female,Undergraduate,India,7.0,Instagram,1.0,5.8,4,Single
22,Male,Graduate,Germany,3.5,Facebook,0.0,8.0,8,In Relationship
21,Male,Graduate,Turkey,4.5,Instagram,1.0,7.7,6,Single
19,Female,Undergraduate,Pakistan,5.4,Instagram,1.0,6.2,5,In Relationship
21,Male,Graduate,Pakistan,4.4,Instagram,1.0,6.9,5,In Relationship
18,Female,High School,Czech Republic,6.1,Snapchat,1.0,5.2,4,Single
19,Female,Undergraduate,Ireland,3.6,Instagram,1.0,8.3,7,Single
21,Male,Graduate,India,4.7,Facebook,0.0,8.2,7,In Relationship
22,Male,Graduate,Pakistan,4.3,Instagram,1.0,7.1,5,In Relationship
20,Female,Undergraduate,Singapore,5.4,TikTok,1.0,6.7,6,Single
20,Female,Undergraduate,Brazil,5.9,TikTok,1.0,6.6,6,Single
19,Female,Undergraduate,Ireland,5.9,Instagram,1.0,6.5,6,Single
19,Female,Undergraduate,Switzerland,3.1,Instagram,0.0,8.7,8,Single
19,Female,Undergraduate,USA,7.0,TikTok,1.0,5.8,4,In Relationship
19,Female,Undergraduate,India,7.0,TikTok,1.0,5.8,4,Single
22,Male,Graduate,New Zealand,4.5,Facebook,1.0,7.7,7,In Relationship
21,Female,Undergraduate,Mexico,6.3,TikTok,1.0,6.2,5,Single
22,Female,Graduate,USA,5.4,Instagram,1.0,6.9,6,In Relationship
20,Female,Undergraduate,Spain,3.9,TikTok,1.0,8.0,6,Single
21,Male,Graduate,India,7.5,WhatsApp,1.0,4.8,5,In Relationship
19,Female,Undergraduate,Singapore,5.3,TikTok,1.0,6.8,6,Single
20,Female,Undergraduate,Maldives,3.6,Instagram,0.0,8.4,8,In Relationship
22,Male,Graduate,New Zealand,4.1,Instagram,1.0,8.1,7,In Relationship
20,Female,Undergraduate,Netherlands,4.7,Snapchat,1.0,5.9,6,Complicated
19,Female,Undergraduate,Nepal,6.2,TikTok,1.0,4.6,6,Single
20,Female,Undergraduate,Ghana,4.6,Snapchat,1.0,5.7,6,In Relationship
22,Male,Graduate,Denmark,2.9,Facebook,0.0,8.9,8,In Relationship
22,Male,Graduate,Russia,4.4,VKontakte,0.0,7.6,7,Single
24,Female,Graduate,Japan,4.2,Twitter,0.0,7.5,8,Single
19,Female,Undergraduate,Sri Lanka,4.9,Facebook,0.0,7.5,7,Single
20,Male,Undergraduate,Finland,4.5,Facebook,0.0,7.4,7,In Relationship
21,Male,Graduate,Denmark,3.4,Facebook,0.0,8.4,8,In Relationship
20,Female,Undergraduate,China,4.2,TikTok,1.0,6.0,6,Complicated
21,Male,Undergraduate,Kenya,3.7,Facebook,0.0,6.6,7,Single
20,Female,Undergraduate,Nepal,6.1,TikTok,1.0,4.8,6,Single
18,Male,High School,Japan,4.0,TikTok,0.0,6.5,7,Single
21,Male,Graduate,Maldives,5.2,TikTok,1.0,5.5,6,In Relationship
21,Male,Graduate,Italy,5.5,Instagram,1.0,6.8,6,Single
21,Female,Graduate,Maldives,4.6,Instagram,0.0,7.4,8,In Relationship
20,Female,Undergraduate,Ireland,4.3,TikTok,1.0,7.6,7,Single
21,Male,Graduate,Mexico,7.1,WhatsApp,1.0,5.1,6,Single
22,Male,Graduate,Pakistan,4.1,Instagram,1.0,7.5,5,In Relationship
19,Female,Undergraduate,USA,6.4,Instagram,1.0,5.7,4,Single
21,Female,Undergraduate,China,5.6,WeChat,1.0,6.7,6,In Relationship
21,Male,Graduate,Maldives,4.8,TikTok,1.0,4.7,6,In Relationship
21,Male,Graduate,Mexico,6.5,WhatsApp,1.0,5.7,6,Single
21,Male,Graduate,Canada,4.5,Instagram,1.0,7.7,6,Single
19,Female,High School,Norway,5.0,Instagram,1.0,5.7,5,In Relationship
21,Male,Graduate,India,6.7,WhatsApp,1.0,5.6,5,In Relationship
20,Female,Undergraduate,Spain,5.1,TikTok,1.0,6.7,6,Single
19,Female,Undergraduate,Japan,3.1,LINE,0.0,8.5,8,Single
20,Female,Undergraduate,Nepal,5.5,TikTok,1.0,5.9,6,Single
19,Male,High School,Uzbekistan,5.5,TikTok,1.0,5.4,5,Complicated
22,Male,Graduate,Maldives,5.3,TikTok,1.0,5.7,6,In Relationship
24,Female,Graduate,Switzerland,4.6,Facebook,0.0,7.2,7,In Relationship
21,Male,Graduate,Turkey,4.9,Instagram,1.0,7.3,6,Single
23,Female,Graduate,Spain,6.4,Facebook,1.0,6.2,5,Single
21,Male,Graduate,India,4.9,Facebook,0.0,7.8,7,In Relationship
19,Female,Undergraduate,France,3.7,Instagram,0.0,8.3,7,In Relationship
